feature_name,importance,importance_percent,category,source,live_field,derivation,production_candidate,reason
C8,0.01004016,1.004016,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C9,0.00187417,0.187417,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C10,0.00104081,0.104081,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C11,0.00316401,0.316401,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C12,0.00157155,0.157155,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C13,0.00259954,0.259954,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
C14,0.00606553,0.606553,D,Proprietary IEEE-CIS Consortium Counts (Obfuscated),None (No live upstream feed exists),Consortium-level entity count features across undisclosed payment networks,False,Anonymous consortium counts with undocumented definitions. Unreliable for live production; should be replaced with explicit Supabase entity metrics.
D1,0.00160178,0.160178,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D1,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D2,0.00381257,0.381257,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D2,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D3,0.00235759,0.235759,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D3,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D4,0.00143501,0.143501,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D4,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D5,0.00139717,0.139717,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D5,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D6,0.00094734,0.094734,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D6,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D7,0.00098839,0.098839,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D7,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D8,0.00146708,0.146708,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D8,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D9,0.00071584,0.071584,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D9,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D10,0.00144381,0.144381,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D10,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D11,0.00121387,0.121387,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D11,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D12,0.00062875,0.062875,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D12,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D13,0.00102735,0.102735,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D13,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D14,0.00073365,0.073365,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D14,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
D15,0.00132648,0.132648,C,Customer / Account Lifecycle (Future Feed),"None (Requires account_created_at, card_issued_at, or bank authorization timedelta)",Calendar days elapsed between reference event and transaction timestamp for D15,False,IEEE-CIS timedelta days. Can be computed in future if AegisFin captures account opening date and card issue timestamp.
M1__freq,0.00095926,0.095926,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M1 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M2__freq,0.00149148,0.149148,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M2 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M3__freq,0.00144434,0.144434,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M3 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M4__freq,0.00194478,0.194478,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M4 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M5__freq,0.00180211,0.180211,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M5 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M6__freq,0.00189205,0.189205,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M6 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M7__freq,0.00090162,0.090162,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M7 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M8__freq,0.00081269,0.081269,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M8 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
M9__freq,0.00145789,0.145789,D,Payment Gateway Match Flags (AVS / 3DS Verification),None (Requires raw AVS / 3DS gateway response codes),"Match indicator M9 (e.g. cardholder name match, billing address match)",False,Obfuscated match indicators from card processor. Unavailable without dedicated merchant processor integration.
V1,0.0,0.0,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V2,0.00262006,0.262006,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V3,0.00120321,0.120321,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V4,0.00124087,0.124087,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V5,0.00130352,0.130352,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V6,0.00177217,0.177217,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V7,0.00170987,0.170987,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V8,0.00114197,0.114197,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V9,0.00134146,0.134146,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V10,0.00084438,0.084438,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V11,0.00094288,0.094288,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V12,0.00113798,0.113798,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V13,0.00124611,0.124611,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V14,0.0,0.0,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V15,0.0020024,0.20024,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V16,0.00021195,0.021195,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V17,0.00052755,0.052755,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V18,0.00052029,0.052029,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V19,0.00149713,0.149713,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V20,0.00135469,0.135469,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V21,0.0029972,0.29972,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V22,0.00142428,0.142428,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V23,0.00133805,0.133805,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V24,0.00146494,0.146494,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V25,0.00178259,0.178259,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V26,0.00113346,0.113346,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V27,0.0,0.0,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V28,0.0,0.0,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V29,0.00101346,0.101346,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V30,0.00111095,0.111095,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V31,0.00058274,0.058274,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V32,0.00043955,0.043955,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V33,0.00090027,0.090027,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V34,0.00450154,0.450154,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V35,0.00138356,0.138356,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V36,0.00115774,0.115774,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V37,0.00178243,0.178243,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V38,0.00134519,0.134519,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V39,0.0012057,0.12057,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V40,0.00115042,0.115042,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V41,0.0,0.0,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V42,0.00053417,0.053417,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V43,0.00088593,0.088593,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V44,0.00095715,0.095715,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V45,0.00264621,0.264621,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V46,0.00079352,0.079352,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V47,0.00098331,0.098331,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V48,0.00101377,0.101377,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V49,0.00169212,0.169212,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V50,0.00150016,0.150016,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V51,0.001225,0.1225,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V52,0.00104925,0.104925,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V53,0.00138043,0.138043,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V54,0.0028146,0.28146,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V55,0.00184871,0.184871,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
V56,0.0018505,0.18505,D,Proprietary Vesta Internal Consortium (Obfuscated),None (No live upstream feed exists),Anonymous multi-entity consortium aggregations computed by Vesta internally,False,Anonymous V-features with undisclosed proprietary formulas. Cannot be reproduced reliably in production; must NOT be fabricated or median-imputed.
