feature_name,train_legit_mean,train_legit_median,train_legit_std,train_legit_min,train_legit_max,train_legit_nunique,train_fraud_mean,train_fraud_median,train_fraud_std,train_fraud_min,train_fraud_max,train_fraud_nunique,train_has_range_overlap,train_legit_in_fraud_range_count,train_fraud_in_legit_range_count,val_legit_mean,val_legit_median,val_legit_std,val_legit_min,val_legit_max,val_legit_nunique,val_fraud_mean,val_fraud_median,val_fraud_std,val_fraud_min,val_fraud_max,val_fraud_nunique,val_has_range_overlap,val_legit_in_fraud_range_count,val_fraud_in_legit_range_count
card_amount_mean,108.9405,60.6163,196.7551,0.0,3497.93,36506,317.7798,255.005,292.5745,0.0,3452.22,4266,True,55583,4415,174.7832,82.9833,207.2515,0.0,3438.52,8768,293.699,251.7867,213.9729,20.618,1458.763333333333,1062,True,8822,1065
card_amount_std,92.5329,11.5216,255.3589,0.0,1735.805,36806,338.1067,295.6777,312.0849,0.0,1583.6478483201022,4043,True,55541,4415,216.6357,26.6218,338.7127,0.0,1685.365,8733,385.6399,344.7524,301.0885,1.2600000000000016,1341.8844300035444,1062,True,8672,1065
card_amount_ratio,2.4727,1.0,25.8178,0.0020851205671222,3311.158473146736,46677,4.7989,2.0335,15.0382,0.0006027782011122,804.6787406187816,4284,True,55578,4387,1.976,0.8546,7.7471,0.0031127737448119,174.50961740375865,8861,4.8705,2.5272,7.9577,0.0014196414604194,68.19328147725739,1065,True,8904,1044
card_is_new,0.1602,0.0,0.3668,0.0,1.0,2,0.0299,0.0,0.1703,0.0,1.0,2,True,55585,4415,0.0084,0.0,0.0912,0.0,1.0,2,0.0,0.0,0.0,0.0,0.0,1,True,8860,1065
device_tx_count_5m,0.0006,0.0,0.0247,0.0,1.0,2,1.7271,1.0,2.1555,0.0,9.0,10,True,55585,2722,0.0002,0.0,0.015,0.0,1.0,2,1.5822,1.0,1.9503,0.0,9.0,10,True,8935,668
device_tx_count_1h,0.0088,0.0,0.0939,0.0,2.0,3,3.4761,3.0,3.0803,0.0,19.0,20,True,55585,2060,0.0102,0.0,0.1015,0.0,2.0,3,3.0742,3.0,2.6947,0.0,13.0,14,True,8935,530
device_tx_count_24h,0.2117,0.0,0.4626,0.0,4.0,5,6.8233,3.0,9.8858,0.0,49.0,50,True,55585,3025,0.2252,0.0,0.477,0.0,5.0,6,5.9521,3.0,9.3028,0.0,48.0,49,True,8935,823
device_unique_customers_24h,0.1899,0.0,0.3922,0.0,1.0,2,3.2736,1.0,3.7335,0.0,19.0,20,True,55585,2682,0.2012,0.0,0.4009,0.0,1.0,2,2.908,1.0,3.9286,0.0,18.0,19,True,8935,739
device_unique_cards_24h,0.1911,0.0,0.3964,0.0,2.0,3,3.2736,1.0,3.7335,0.0,19.0,20,True,55585,2798,0.2021,0.0,0.4038,0.0,2.0,3,2.908,1.0,3.9286,0.0,18.0,19,True,8935,760
device_is_new,0.1691,0.0,0.3748,0.0,1.0,2,0.1398,0.0,0.3467,0.0,1.0,2,True,55585,4415,0.0105,0.0,0.102,0.0,1.0,2,0.1484,0.0,0.3555,0.0,1.0,2,True,8935,1065
merchant_tx_count_1h,0.0767,0.0,0.3285,0.0,11.0,9,3.5336,3.0,3.0501,0.0,18.0,19,True,55585,4361,0.0751,0.0,0.3293,0.0,7.0,8,3.1803,3.0,2.7027,0.0,13.0,14,True,8935,950
merchant_tx_count_24h,1.7834,2.0,1.8482,0.0,43.0,28,8.3776,5.0,9.4868,0.0,46.0,47,True,55585,4409,1.9503,2.0,2.0365,0.0,43.0,22,7.9249,5.0,8.7089,0.0,42.0,43,True,8934,1065
merchant_amount_mean,126.6092,80.8367,90.8548,0.0,734.4975,52652,200.9904,195.4385,107.059,10.984,602.4807692307693,4400,True,54346,4415,186.6217,174.8392,86.5102,49.22,517.9787719298246,8933,218.9968,217.9736,83.0248,57.01409836065574,437.59897058823526,1059,True,8834,1065
merchant_amount_std,228.4619,42.1454,251.0576,0.0,1259.5800183551287,53146,352.5818,359.4983,202.783,0.0,943.2424095933144,4400,True,55445,4415,416.373,446.2233,195.3056,25.22329549845676,902.1522224333004,8935,430.9,425.1982,152.0926,27.707894681016835,866.7640739279869,1059,True,8896,1065
customer_merchant_tx_count,0.0029,0.0,0.0541,0.0,1.0,2,1.4557,1.0,1.4256,0.0,5.0,6,True,55585,2440,0.0078,0.0,0.1012,0.0,5.0,4,1.5944,1.0,1.4342,0.0,5.0,6,True,8935,1065
customer_merchant_is_new,0.9971,1.0,0.0541,0.0,1.0,2,0.3848,0.0,0.4866,0.0,1.0,2,True,55585,4415,0.9927,1.0,0.085,0.0,1.0,2,0.3333,0.0,0.4714,0.0,1.0,2,True,8935,1065
ip_tx_count_5m,0.0008,0.0,0.0284,0.0,1.0,2,1.7271,1.0,2.1555,0.0,9.0,10,True,55585,2722,0.0001,0.0,0.0106,0.0,1.0,2,1.5822,1.0,1.9503,0.0,9.0,10,True,8935,668
ip_tx_count_1h,0.01,0.0,0.1001,0.0,2.0,3,3.4535,3.0,3.0356,0.0,18.0,19,True,55585,2063,0.0107,0.0,0.1042,0.0,2.0,3,3.0742,3.0,2.6947,0.0,13.0,14,True,8935,530
ip_tx_count_24h,0.2449,0.0,0.4972,0.0,4.0,5,6.5912,3.0,9.5305,0.0,49.0,50,True,55585,3035,0.2567,0.0,0.5108,0.0,5.0,6,5.6094,3.0,8.5521,0.0,39.0,40,True,8935,825
ip_unique_customers_24h,0.2219,0.0,0.4303,0.0,4.0,5,3.1089,1.0,3.3976,0.0,18.0,19,True,55585,3056,0.2301,0.0,0.433,0.0,3.0,4,2.5465,1.0,2.9311,0.0,9.0,10,True,8935,783
ip_unique_cards_24h,0.2231,0.0,0.434,0.0,4.0,5,3.1089,1.0,3.3976,0.0,18.0,19,True,55585,3056,0.2312,0.0,0.4362,0.0,3.0,4,2.5465,1.0,2.9311,0.0,9.0,10,True,8935,783
ip_unique_devices_24h,0.2178,0.0,0.4312,0.0,4.0,5,0.8541,1.0,0.3606,0.0,2.0,3,True,55548,4415,0.2275,0.0,0.436,0.0,3.0,4,0.8441,1.0,0.3729,0.0,2.0,3,True,8930,1065
ip_is_new,0.1483,0.0,0.3554,0.0,1.0,2,0.1393,0.0,0.3463,0.0,1.0,2,True,55585,4415,0.0006,0.0,0.0236,0.0,1.0,2,0.1371,0.0,0.3439,0.0,1.0,2,True,8935,1065
customer_device_seen_before,0.801,1.0,0.3992,0.0,1.0,2,0.6145,1.0,0.4867,0.0,1.0,2,True,55585,4415,0.964,1.0,0.1864,0.0,1.0,2,0.6657,1.0,0.4717,0.0,1.0,2,True,8935,1065
customer_card_seen_before,0.8398,1.0,0.3668,0.0,1.0,2,0.9701,1.0,0.1703,0.0,1.0,2,True,55585,4415,0.9916,1.0,0.0912,0.0,1.0,2,1.0,1.0,0.0,1.0,1.0,1,True,8860,1065
customer_merchant_seen_before,0.0029,0.0,0.0541,0.0,1.0,2,0.6152,1.0,0.4866,0.0,1.0,2,True,55585,4415,0.0073,0.0,0.085,0.0,1.0,2,0.6667,1.0,0.4714,0.0,1.0,2,True,8935,1065
customer_ip_seen_before,0.7974,1.0,0.4019,0.0,1.0,2,0.6143,1.0,0.4868,0.0,1.0,2,True,55585,4415,0.9415,1.0,0.2348,0.0,1.0,2,0.6657,1.0,0.4717,0.0,1.0,2,True,8935,1065
card_device_seen_before,0.7821,1.0,0.4128,0.0,1.0,2,0.6145,1.0,0.4867,0.0,1.0,2,True,55585,4415,0.9538,1.0,0.21,0.0,1.0,2,0.6657,1.0,0.4717,0.0,1.0,2,True,8935,1065
card_ip_seen_before,0.7791,1.0,0.4148,0.0,1.0,2,0.6143,1.0,0.4868,0.0,1.0,2,True,55585,4415,0.9335,1.0,0.2491,0.0,1.0,2,0.6657,1.0,0.4717,0.0,1.0,2,True,8935,1065
rapid_transaction_flag,0.0001,0.0,0.0112,0.0,1.0,2,0.1307,0.0,0.3371,0.0,1.0,2,True,55585,4415,0.0,0.0,0.0,0.0,0.0,1,0.1577,0.0,0.3645,0.0,1.0,2,True,8935,897
transactions_last_15m,0.0027,0.0,0.052,0.0,1.0,2,0.892,0.0,1.1825,0.0,4.0,5,True,55585,3192,0.0021,0.0,0.0461,0.0,1.0,2,1.0779,1.0,1.2644,0.0,4.0,5,True,8935,709
amount_sum_last_1h,1.8849,0.0,62.1116,0.0,7174.92,577,1207.1061,398.94,1559.6313,0.0,7046.31,2370,True,55584,4415,2.5616,0.0,70.9425,0.0,4677.5,101,1320.746,763.74,1540.0819,0.0,6384.0,631,True,8935,1023
amount_sum_last_24h,50.0216,0.0,363.9314,0.0,8552.86,8607,1433.0833,1041.97,1556.2651,0.0,8707.38,3073,True,55585,4414,71.5154,0.0,471.6537,0.0,7634.47,1969,1521.2125,1242.89,1514.047,0.0,6384.0,789,True,8928,1065
